x,y
877.0,450.0
881.0,450.0
883.0,447.0
883.0,442.0
884.0,434.0
891.0,393.0
899.0,388.0
917.0,391.0
917.0,391.0
926.0,398.0
935.0,410.0
941.0,423.0
924.0,454.0
915.0,445.0
915.0,439.0
924.0,427.0
931.0,423.0
931.0,423.0
968.0,429.0
976.0,431.0
986.0,437.0
991.0,444.0
991.0,451.0
987.0,455.0
972.0,447.0
966.0,438.0
962.0,405.0
965.0,398.0
974.0,396.0
982.0,397.0
991.0,400.0
1000.0,407.0
1006.0,419.0
1005.0,444.0
981.0,446.0
977.0,440.0
979.0,435.0
984.0,432.0
992.0,425.0
1001.0,425.0
1011.0,425.0
1021.0,426.0
1033.0,460.0
1033.0,460.0
1035.0,459.0
1036.0,453.0
1037.0,446.0
1039.0,403.0
1048.0,389.0
1053.0,391.0
1056.0,396.0
1056.0,404.0
1056.0,413.0
1046.0,447.0
1043.0,456.0
1042.0,463.0
1040.0,472.0
1040.0,479.0
1037.0,481.0
1034.0,480.0
1028.0,480.0
1007.0,484.0
999.0,486.0
994.0,489.0
993.0,493.0
999.0,499.0
1004.0,503.0
1014.0,503.0
1016.0,498.0
1017.0,476.0
1012.0,466.0
1007.0,456.0
1002.0,452.0
998.0,449.0
992.0,451.0
945.0,494.0
931.0,506.0
920.0,517.0
910.0,528.0
910.0,528.0
902.0,540.0
913.0,521.0
925.0,507.0
937.0,490.0
953.0,477.0
965.0,470.0
982.0,463.0
1029.0,454.0
1038.0,455.0
1048.0,459.0
1064.0,465.0
1068.0,465.0
1071.0,468.0
1078.0,469.0
1081.0,469.0
1078.0,454.0
1081.0,446.0
1079.0,440.0
1080.0,428.0
1085.0,409.0
1092.0,401.0
1099.0,395.0
1108.0,394.0
1112.0,396.0
1134.0,432.0
1134.0,432.0
1132.0,443.0
1128.0,455.0
1114.0,463.0
1107.0,462.0
1107.0,455.0
1116.0,438.0
1127.0,436.0
1134.0,435.0
1141.0,436.0
1141.0,436.0
1148.0,437.0
1165.0,453.0
1161.0,454.0
1152.0,448.0
1148.0,444.0
1143.0,435.0
1140.0,424.0
1140.0,412.0
1139.0,402.0
1162.0,393.0
1169.0,400.0
1172.0,407.0
1174.0,417.0
1173.0,428.0
1172.0,437.0
1157.0,453.0
1150.0,448.0
1149.0,442.0
1152.0,440.0
1157.0,433.0
1164.0,431.0
1173.0,430.0
1181.0,431.0
1187.0,433.0
1192.0,441.0
1200.0,464.0
1200.0,461.0
1197.0,457.0
1196.0,451.0
1196.0,443.0
1194.0,430.0
1200.0,399.0
1205.0,397.0
1207.0,397.0
1207.0,407.0
